ID,TEMP,REL HUMIDITY,DEW POINT,CO2,CH4,SO2,NH3,O3,O2,PM 2_5,PM_10,Avg_AQI
4925,27.82,73.05,19.14,0.1751,1.2469,0.7,6.87,1.1674,0.0268,0.424,206,36.56113333
4926,27.82,73.05,19.14,0.1752,1.2485,0.8,6.92,1.1646,0.0269,0.4248,206,36.56111111
4927,27.8,73.04,19.12,0.1766,1.2486,0.65,6.91,1.1662,0.027,0.4265,206,36.5561
4928,27.83,73.02,19.14,0.1783,1.196,0.67,6.97,1.165,0.0269,0.4253,206,36.5535
4929,27.81,73.04,19.13,0.1778,1.2466,0.66,6.7,1.1656,0.027,0.4261,206,36.55812222
4930,27.82,73.05,19.14,0.1773,1.2476,0.75,6.8,1.1671,0.0269,0.4249,207,36.67264444
4931,27.81,73.07,19.13,0.1736,1.2478,0.78,6.86,1.169,0.0269,0.4256,207,36.67254444
4932,27.82,73.05,19.14,0.1755,1.2427,0.76,6.99,1.1699,0.0269,0.4242,207,36.67213333
4933,27.83,73.05,19.14,0.1764,1.2479,0.7,7.1,1.1701,0.0269,0.4245,207,36.67397778
4934,27.82,73.05,19.14,0.1764,1.2482,0.67,7.12,1.1696,0.0269,0.4278,207,36.67321111
4935,27.83,73.05,19.14,0.1772,1.2478,0.69,6.92,1.1692,0.027,0.4258,208,36.78522222
4936,27.8,73.04,19.12,0.1751,1.2324,0.7,6.76,1.1675,0.0268,0.4267,209,36.88761111
4937,27.82,73.11,19.15,0.1775,1.2476,0.7,7.14,1.1648,0.0269,0.4245,209,36.90236667
4938,27.81,73.13,19.14,0.1769,1.2401,0.67,6.79,1.1664,0.0269,0.4251,209,36.90171111
4939,27.82,73.11,19.15,0.1777,1.2461,0.7,6.86,1.1681,0.027,0.4248,210,37.01374444
4940,27.8,73.1,19.13,0.1793,1.2471,0.68,6.8,1.1688,0.0267,0.4268,211,37.11985556
4941,27.81,73.13,19.14,0.1767,1.2467,0.73,6.69,1.1685,0.027,0.4247,211,37.12484444
4942,27.81,73.13,19.14,0.1766,1.245,0.72,6.9,1.1689,0.027,0.4256,212,37.2359
4943,27.81,73.13,19.14,0.1784,1.2467,0.7,6.85,1.167,0.027,0.4252,212,37.23603333
4944,27.8,73.16,19.14,0.1774,1.2488,0.66,6.7,1.1682,0.027,0.4241,213,37.3495
4945,27.81,73.16,19.15,0.1782,1.2485,0.74,6.81,1.1691,0.027,0.4247,214,37.46305556
4946,27.81,73.16,19.15,0.1752,1.2347,0.66,6.85,1.1695,0.0269,0.4247,214,37.46122222
4947,27.81,73.16,19.15,0.1773,1.2472,0.73,6.8,1.1702,0.027,0.4275,214,37.46324444
